reference_pressure;adc_opamp 10,1,1,1,7,;adc_opamp 10,1,1,1,8,;adc_opamp 10,3,1,1,7,;adc_opamp 10,3,1,1,8,;adc_opamp 11,1,1,1,7,;adc_opamp 11,1,1,1,8,;adc_opamp 11,3,1,1,7,;adc_opamp 11,3,1,1,8,;adc_opamp 13,1,1,1,7,;adc_opamp 13,1,1,1,8,;adc_opamp 13,3,1,1,7,;adc_opamp 13,3,1,1,8,;adc_opamp 14,1,1,1,7,;adc_opamp 14,1,1,1,8,;adc_opamp 14,5,1,1,7,;adc_opamp 14,5,1,1,8,;adc_opamp 14,7,1,1,7,;adc_opamp 14,7,1,1,8,;adc_opamp 15,1,1,1,7,;adc_opamp 15,1,1,1,8,;adc_opamp 15,4,4,4,7,;adc_opamp 15,4,4,4,8,;adc_opamp 9,3,1,1,7,;adc_opamp 9,3,1,1,8,;adc_opamp 9,5,1,1,7,;adc_opamp 9,5,1,1,8,;adc_opamp 9,7,1,1,7,;adc_opamp 9,7,1,1,8,;hx711 10,1,1,1,0,;hx711 10,1,1,1,1,;hx711 10,3,1,1,0,;hx711 10,3,1,1,1,;hx711 11,1,1,1,0,;hx711 11,1,1,1,1,;hx711 11,3,1,1,0,;hx711 11,3,1,1,1,;hx711 13,1,1,1,0,;hx711 13,1,1,1,1,;hx711 13,3,1,1,0,;hx711 13,3,1,1,1,;hx711 14,1,1,1,0,;hx711 14,1,1,1,1,;hx711 14,5,1,1,0,;hx711 14,5,1,1,1,;hx711 14,7,1,1,0,;hx711 14,7,1,1,1,;hx711 15,1,1,1,0,;hx711 15,1,1,1,1,;hx711 15,4,4,4,0,;hx711 15,4,4,4,1,;hx711 9,3,1,1,0,;hx711 9,3,1,1,1,;hx711 9,5,1,1,0,;hx711 9,5,1,1,1,;hx711 9,7,1,1,0,;hx711 9,7,1,1,1,
295;2058;3977;-376;-870;4002;4027;2374;4007;3998;4028;2040;3919;2298;4005;902;1655;1294;2488;;4033;4007;4029;-2490;-4015;-1689;-3231;-1221;-2361;-4143893;-4143552;918414;919083;-8388608;-8388608;-4831799;-4834022;-8388608;-8388608;-3974749;-3972692;-4476944;-4475633;-1661924;-1660469;-2546300;-2545045;-8388608;-8388608;-8388608;-8388608;5509097;5510077;3265859;3265233;2378180;2378718
300;2224;4002;-262;-660;4004;4028;2534;4011;4001;4029;2227;4001;2607;4013;958;1744;1328;2580;4018;4032;4007;4030;-2631;-4017;-1975;-3813;-1531;-2939;-4501326;-4510658;685184;682063;-8388608;-8388608;-5187091;-5189020;-8388608;-8388608;-4356127;-4361893;-5097100;-5097279;-1794579;-1794459;-2633988;-2635686;-8388608;-8388608;-8388608;-8388608;5803849;5806229;3820693;3817936;2950246;2953003
300;2146;3995;-339;-805;4004;4029;2433;4007;4000;4027;2097;3977;2330;4005;948;1700;1576;2408;4017;4032;4006;4029;-2553;-4015;-1684;-3220;-1293;-2527;-4332249;-4331668;833622;833915;-8388608;-8388608;-4938187;-4937770;-8388608;-8388608;-4085509;-4087598;-4545555;-4545626;-1742093;-1739827;-2465842;-2468636;-8388608;-8388608;-8388608;-8388608;5609196;5614480;3254703;3254238;2534310;2535534
300;2066;3984;-288;-701;4003;4028;2444;4008;3999;4028;2120;3985;2428;4008;980;1799;;3083;4018;4033;4005;4030;-2514;-4016;-1808;-3498;-1186;-2280;-4160941;-4172164;757272;751221;-8388608;-8388608;-4963670;-4968748;-8388608;-8388608;-4132145;-4138093;-4757803;-4767164;-1824439;-1829092;-3133804;-3140035;-8388608;-8388608;-8388608;-8388608;5563877;5569918;3538945;3543362;2301580;2304764
310;2299;4006;-253;-653;4005;4028;2528;4010;4001;4028;2174;3995;2414;4009;1002;1821;1182;2276;4018;4032;4006;4029;-2620;-4016;-1711;-3288;-1446;-2818;-4626966;-4625756;687670;689674;-8388608;-8388608;-5135866;-5130658;-8388608;-8388608;-4262567;-4267029;-4713126;-4713015;-1863935;-1866315;-2326676;-2325359;-8388608;-8388608;-8388608;-8388608;5773552;5774664;3304960;3304508;2841630;2842276
310;2162;3997;-313;-743;4003;4028;2421;4008;3999;4027;2087;3973;2470;4010;954;1732;1506;2935;4018;4032;4006;4030;-2533;-4015;-1814;-3487;-1185;-2276;-4354715;-4354743;790678;791051;-8388608;-8388608;-4921799;-4922265;-8388608;-8388608;-4074126;-4073984;-4833133;-4831460;-1759003;-1758761;-2994652;-2993445;-8388608;-8388608;-8388608;-8388608;5594548;5594986;3523677;3522416;2285659;2286839
310;2157;3998;-321;-760;4004;4028;2408;4007;3999;4027;2084;3957;2468;4010;945;1728;1515;2951;;4032;4006;4030;-2526;-4015;-1816;-3514;-1172;-2255;-4329002;-4329321;802370;802555;-8388608;-8388608;-4906730;-4906603;-8388608;-8388608;-4059333;-4059337;-4822343;-4820839;-1750981;-1750582;-3002536;-3001160;-8388608;-8388608;-8388608;-8388608;5579466;5580000;3519410;3518287;2264238;2265309
315;2193;4000;-308;-740;4004;4028;2432;4008;4000;4027;2108;3980;2485;4010;971;1758;1512;2936;4019;4033;4005;4029;-2544;-4015;-1812;-3485;-1184;-2297;-4403497;-4403388;769423;769121;-8388608;-8388608;-4948098;-4948648;-8388608;-8388608;-4102463;-4102483;-4854078;-4852439;-1779055;-1779299;-2991583;-2990033;-8388608;-8388608;-8388608;-8388608;5620774;5620706;3522622;3521498;2307258;2308374
320;2400;4007;-224;-589;4005;4028;2576;4010;4003;4028;2239;4002;2628;4013;987;1792;1276;2444;4018;4032;4007;4030;-2687;-4016;-1931;-3740;-1538;-2974;-4829938;-4846025;609997;607622;-8388608;-8388608;-5220740;-5220776;-8388608;-8388608;-4382811;-4385120;-5150081;-5140222;-1811610;-1823752;-2507719;-2505053;-8388608;-8388608;-8388608;-8388608;5897439;5891560;3745496;3741025;2975449;2977730
320;2253;4003;-276;-682;4004;4027;2466;4008;4001;4029;2127;3987;2568;4012;989;1807;1557;3051;4018;4033;4005;4030;-2561;-4017;-1855;-3581;-1204;-2298;-4524259;-4523013;711415;711601;-8388608;-8388608;-4999382;-4999556;-8388608;-8388608;-4153939;-4153792;-5006288;-5003708;-1824238;;-3098338;-3096098;-8388608;-8388608;-8388608;-8388608;5671559;5671986;3617597;3615749;2327725;2328742
